GENDER_ENC,PARTNER_ENC,DEPENDENTS_ENC,PHONESERVICE_ENC,PAPERLESS_ENC,ML_NO,ML_YES,IS_DSL,IS_FIBER,OS_NO,OS_YES,OB_NO,OB_YES,DP_NO,DP_YES,TS_NO,TS_YES,STV_NO,STV_YES,SM_NO,SM_YES,CONTRACT_ONE_YEAR,CONTRACT_TWO_YEAR,PM_MAILED,PM_BANK_TRANSFER,PM_CREDIT_CARD,BUCKET_0_12,BUCKET_13_24,BUCKET_25_48,BUCKET_49_60,AVG_MONTHLY_CHARGE,CLV_ESTIMATE,HIGH_MONTHLY_CHARGE,HAS_LONG_TENURE,TENURE_ZSCORE,MONTHLYCHARGES_ZSCORE,TOTALCHARGES_ZSCORE,CHURN_ENC
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,29.85,29.85,0,0,-1.280124976,-1.161611332,-0.9941233945,0
1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,55.573529412,1936.3,0,0,0.06433014028,-0.2608593699,-0.1737274643,0
1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,54.075,107.7,0,0,-1.239383912,-0.3638974172,-0.9595808723,1
1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,40.905555556,1903.5,0,0,0.5124818458,-0.7477972386,-0.1952338239,0
0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,75.825,141.4,0,0,-1.239383912,0.1961642269,-0.9403905823,1
0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,102.5625,797.2,1,0,-0.9949375274,1.158406636,-0.6453233288,1
1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,88.609090909,1960.2,1,0,-0.4245626294,0.8077448948,-0.1473022143,0
0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,30.19,297.5,0,0,-0.9134553991,-1.16493514,-0.8741068791,0
0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,108.7875,2934.4,1,0,-0.1801162446,1.329582747,0.3364916162,1
1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,56.257258065,3481.3,0,1,1.205079936,-0.2874498337,0.5314384942,0
1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,45.188461538,649.35,0,0,-0.7912322067,-0.4935259283,-0.7481347565,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,20.425,303.2,0,0,-0.6690090143,-1.523906401,-0.8631220924,0
1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,97.95,5820.3,1,0,1.04211568,1.181673292,1.498959982,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,102.781632653,5081.3,1,0,0.6754461024,1.293020859,1.214502532,1
1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,107.442,2637.5,1,0,-0.302339437,1.352849403,0.1776754224,0
0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,114.422463768,7814.25,1,1,1.490267385,1.610444521,2.475701632,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,19.672115385,1073.8,0,0,0.7976692948,-1.467401666,-0.5560112776,0
1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,103.975352113,7575.7,1,1,1.571749513,1.392735099,2.249432671,0
0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,52.835,552,0,0,-0.9134553991,-0.3190260095,-0.7742070816,1
0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,88.70952381,1891.05,1,0,-0.4653036935,0.8393210705,-0.1854622164,0
1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,39.65,39.65,0,0,-1.280124976,-0.83587815,-0.9898000648,1
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,16.854166667,237.6,0,0,-0.8319732708,-1.495654033,-0.9180680839,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.15,20.15,0,0,-1.280124976,-1.484020706,-0.9984026086,1
0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,60.432758621,3474.2,0,0,1.04211568,-0.1628070346,0.5390043212,0
1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,60.618367347,2920.4,0,0,0.6754461024,-0.1727784585,0.3030740421,0
0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,51.02,1659,0,0,-0.09863411628,-0.3157022016,-0.3320583864,0
1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,101.045744681,4669.45,1,0,0.5939639741,1.148435212,1.08782456,1
1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,30.2,30.2,0,0,-1.280124976,-1.149978004,-0.9939689899,1
1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,88.464583333,6498,1,1,1.612490578,0.8459686865,1.802629779,0
0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,64.3,1099.9,0,0,-0.6282679501,-0.003264251691,-0.5250641776,1
0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,95.30915493,6840.85,1,1,1.571749513,1.048720973,1.977989326,0
1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,90.825,191,1,0,-1.239383912,1.020468605,-0.9271558994,0
0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,69.424074074,1786.05,0,0,-0.2208573087,0.04493096398,-0.1803668635,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.2,20.2,0,0,-1.280124976,-1.482358802,-0.9983805508,0
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,45.25,45.25,0,0,-1.280124976,-0.6497449033,-0.9873295907,0
0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,100.718055556,7192.8,1,1,1.612490578,1.166716156,2.191839743,0
1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,63.38,348.5,0,0,-1.11716072,0.1629261472,-0.8674895377,1
0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,77.136956522,3440.8,0,0,0.55322291,0.332440354,0.5580622644,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,104.389705882,3615.9,1,0,0.06433014028,1.381101771,0.5584813627,1
0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,100.490909091,1076.35,1,0,-0.872714335,1.098578093,-0.5196379576,1
1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,47.57,495.5,0,0,-0.9134553991,-0.5068211602,-0.79743395,0
0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,69.605,4844,0,1,1.531008449,0.1463071073,1.142174991,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,24.602941176,352.75,0,0,-0.6282679501,-1.464077858,-0.8227783676,0
0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,77.165873016,5030.55,0,1,1.245821,0.5002926569,1.137366389,0
0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,75.496153846,990.6,0,0,-0.7912322067,0.3789736657,-0.5743192555,0
0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,79.728571429,4140.5,1,0,0.6754461024,0.6548497278,0.7161726085,0
1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,48.5,98.5,0,0,-1.239383912,-0.5167925842,-0.9644997628,0
0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,72.075,161.3,1,0,-1.239383912,0.5268831207,-0.943699253,1
1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,81.111538462,4147,0,0,0.7976692948,0.4969688489,0.8534162694,0
0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,61.653623188,4426.35,0,1,1.490267385,-0.02154519557,0.8694302356,0
0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,89.273255814,3880.75,1,0,0.4309997175,0.8459686865,0.6861960519,0
0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,95.093333333,1486.5,1,0,-0.7097500784,1.140125692,-0.3780268514,1
0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,70.106,1737.5,0,0,-0.302339437,0.1562785312,-0.2340996758,0
0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,79.1625,645.2,1,0,-0.9949375274,0.5268831207,-0.7279077496,1
0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,74.2725,4491,0,0,1.123597808,0.334102258,0.9586540556,0
1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,97.363888889,1718.1,1,0,-0.587526886,1.018806701,-0.2341437914,1
0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,100.177777778,6277.95,1,1,1.245821,1.158406636,1.776932437,0
1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,107.217424242,7157.7,1,1,1.368044193,1.450901738,2.114483022,0
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,26.302941176,848.3,0,0,0.06433014028,-1.324477923,-0.612766009,0
0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,109.079166667,7740,1,1,1.612490578,1.419325563,2.457415712,0
0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,100.15106383,4723.5,1,0,0.5939639741,1.186659004,1.069273946,0
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,90.845,5394,1,0,1.123597808,0.8343353586,1.397317618,0
